event_id,user_id,event_type,event_timestamp,device,channel,session_id
814,5,view,2025-10-02 09:56:03,mobile,direct,14f1f647-f3b
815,13,view,2025-10-02 22:46:53,mobile,search,7d8f12e4-b3f
816,16,view,2025-10-02 12:41:20,desktop,email,b33ceeb0-9cc
817,19,view,2025-10-02 01:46:33,tablet,social,58e629fb-ff5
818,33,view,2025-10-02 09:18:08,mobile,direct,f902868f-0c5
819,35,view,2025-10-02 05:57:39,mobile,email,ae25dd5c-a63
820,38,view,2025-10-02 03:29:14,tablet,search,3c3b6018-e7b
821,46,view,2025-10-02 10:31:07,mobile,search,96a24a7b-6c6
822,47,view,2025-10-02 21:41:44,desktop,search,30d174e4-4a0
823,52,view,2025-10-02 12:30:15,tablet,email,9bb49e5b-6c3
824,61,view,2025-10-02 01:24:17,tablet,referral,819ad36c-a7b
825,63,view,2025-10-02 23:03:46,mobile,referral,2540d338-0ec
826,71,view,2025-10-02 01:28:25,mobile,direct,74146af9-8a7
827,75,view,2025-10-02 17:01:16,mobile,referral,d3349b04-25e
828,77,view,2025-10-02 09:05:40,desktop,direct,0139ec0f-fa1
829,86,view,2025-10-02 06:41:58,desktop,direct,cd041a85-0b7
830,96,view,2025-10-02 01:51:14,mobile,search,57d7192f-c17
831,98,view,2025-10-02 11:45:31,desktop,search,1b0af1ef-fe3
832,104,view,2025-10-02 04:15:16,desktop,search,0008ff21-860
833,120,view,2025-10-02 04:30:17,desktop,search,326b04d2-c02
834,130,view,2025-10-02 18:45:41,desktop,referral,2340ac68-77c
835,146,view,2025-10-02 04:03:22,desktop,direct,a63a42ac-35a
836,159,view,2025-10-02 03:53:07,mobile,direct,89bd9ff7-57c
837,161,view,2025-10-02 13:51:55,mobile,referral,63d49d71-e02
838,171,view,2025-10-02 03:45:43,desktop,direct,2c29ce1d-708
839,177,view,2025-10-02 07:45:44,mobile,search,6094b1c1-d8e
840,185,view,2025-10-02 16:10:41,mobile,social,bb10f444-891
841,186,view,2025-10-02 02:32:24,desktop,search,7f6a8579-e68
842,194,view,2025-10-02 10:40:59,desktop,social,115135e2-54b
843,195,view,2025-10-02 11:03:47,tablet,direct,90c87e85-e9b
844,199,view,2025-10-02 08:32:21,mobile,email,70aea8dd-9aa
845,200,view,2025-10-02 19:26:55,desktop,direct,c11312ff-cf6
846,203,view,2025-10-02 19:22:14,mobile,search,1af60dce-898
847,204,view,2025-10-02 20:43:47,desktop,direct,5cb83582-e53
848,215,view,2025-10-02 19:22:21,mobile,search,f69370f6-22e
849,217,view,2025-10-02 19:12:57,desktop,search,bc0ea479-087
850,218,view,2025-10-02 00:59:03,desktop,referral,b8b48cdb-820
851,221,view,2025-10-02 01:33:11,mobile,social,f6e7fc11-075
852,235,view,2025-10-02 15:39:55,tablet,search,1d7cd78a-aff
853,258,view,2025-10-02 16:47:14,desktop,referral,414f8ca3-31b
854,261,view,2025-10-02 08:04:15,mobile,search,4c85771b-be0
855,262,view,2025-10-02 01:41:56,mobile,search,0c921960-329
856,275,view,2025-10-02 15:24:45,mobile,search,c753aded-d1e
857,280,view,2025-10-02 18:24:57,mobile,search,1c0ab285-7ab
858,281,view,2025-10-02 00:40:07,desktop,social,e873a935-50f
859,286,view,2025-10-02 08:46:34,tablet,direct,baa26f01-2a2
860,288,view,2025-10-02 18:27:01,mobile,search,29855263-65f
861,296,view,2025-10-02 09:50:11,mobile,social,c8917c5b-011
862,302,view,2025-10-02 21:17:41,mobile,email,26b9a8fc-a81
863,307,view,2025-10-02 15:24:04,mobile,email,cd774e67-f28
864,308,view,2025-10-02 07:17:18,mobile,search,af1280cb-7bc
865,309,view,2025-10-02 11:35:03,mobile,search,d37ce53f-1b9
866,319,view,2025-10-02 09:46:36,mobile,search,afef8f5e-519
867,327,view,2025-10-02 21:27:01,desktop,search,a708e521-539
868,334,view,2025-10-02 03:32:18,desktop,email,11f1f755-c4a
