order_id,user_id,order_timestamp,amount,currency,payment_method,status
152,185,2025-10-05 19:57:55,50.82,AUD,card,pending
153,323,2025-10-05 13:56:37,111.89,AUD,card,paid
154,370,2025-10-05 10:47:39,54.56,AUD,card,paid
155,520,2025-10-05 08:52:17,81.52,AUD,bank_transfer,paid
156,598,2025-10-05 01:14:41,70.41,AUD,card,paid
157,683,2025-10-05 22:10:48,63.47,AUD,paypal,paid
158,737,2025-10-05 10:20:27,53.28,AUD,card,paid
159,908,2025-10-05 04:56:31,161.75,AUD,paypal,refunded
160,1055,2025-10-05 00:03:27,234.26,AUD,paypal,paid
161,1105,2025-10-05 10:18:58,44.81,AUD,paypal,pending
162,1106,2025-10-05 02:45:44,41.18,AUD,paypal,paid
163,1217,2025-10-05 20:37:03,67.92,AUD,paypal,refunded
164,1271,2025-10-05 04:48:05,23.98,AUD,card,paid
165,1395,2025-10-05 12:22:38,68.15,AUD,card,paid
166,1446,2025-10-05 07:26:22,164.55,AUD,card,paid
167,1515,2025-10-05 23:14:29,50.93,AUD,paypal,paid
168,1571,2025-10-05 16:03:23,108.44,AUD,card,paid
169,1617,2025-10-05 01:14:49,129.18,AUD,card,paid
170,1638,2025-10-05 02:31:48,45.25,AUD,paypal,paid
171,1740,2025-10-05 17:53:50,72.26,AUD,paypal,paid
172,1760,2025-10-05 20:01:58,78.21,AUD,paypal,paid
173,1870,2025-10-05 22:34:34,92.57,AUD,card,refunded
174,2006,2025-10-05 02:13:50,95.66,AUD,card,paid
175,2295,2025-10-05 17:06:43,110.51,AUD,card,paid
176,2300,2025-10-05 05:51:58,46.9,AUD,card,paid
177,2354,2025-10-05 03:13:13,72.12,AUD,card,paid
178,2432,2025-10-05 18:48:50,129.94,AUD,card,refunded
179,2444,2025-10-05 23:01:19,136.42,AUD,card,paid
180,2477,2025-10-05 08:10:39,73.79,AUD,card,paid
181,2536,2025-10-05 12:23:12,52.5,AUD,card,paid
182,2696,2025-10-05 12:51:01,106.26,AUD,card,paid
183,2745,2025-10-05 12:57:32,84.89,AUD,paypal,paid
184,2790,2025-10-05 01:15:38,84.06,AUD,paypal,paid
185,2879,2025-10-05 05:40:42,94.55,AUD,paypal,paid
186,2985,2025-10-05 01:20:42,43.47,AUD,card,paid
