user_id,registration_date,region,age_group
1,2025-09-11,NSW,25-34
2,2025-07-22,NSW,25-34
3,2025-09-01,SA,55-64
4,2025-06-15,VIC,18-24
5,2025-09-15,VIC,35-44
6,2025-08-11,NSW,45-54
7,2025-07-31,NSW,55-64
8,2025-06-21,NSW,35-44
9,2025-09-11,NSW,45-54
10,2025-09-30,QLD,18-24
11,2025-08-22,NSW,25-34
12,2025-08-26,QLD,25-34
13,2025-08-14,NSW,55-64
14,2025-08-14,NSW,18-24
15,2025-08-27,NSW,18-24
16,2025-09-25,QLD,25-34
17,2025-09-08,QLD,18-24
18,2025-09-12,VIC,25-34
19,2025-06-24,VIC,65+
20,2025-06-03,QLD,25-34
21,2025-06-22,NSW,35-44
22,2025-07-23,VIC,45-54
23,2025-06-02,WA,25-34
24,2025-08-27,QLD,18-24
25,2025-09-16,VIC,25-34
26,2025-06-30,SA,25-34
27,2025-07-08,WA,35-44
28,2025-06-02,NSW,25-34
29,2025-08-03,QLD,18-24
30,2025-07-30,QLD,35-44
31,2025-06-21,VIC,55-64
32,2025-07-03,VIC,45-54
33,2025-08-15,VIC,45-54
34,2025-07-28,QLD,45-54
35,2025-06-22,VIC,25-34
36,2025-09-16,WA,45-54
37,2025-08-28,QLD,18-24
38,2025-07-19,NSW,35-44
39,2025-08-30,QLD,35-44
40,2025-07-29,NSW,18-24
41,2025-07-12,QLD,45-54
42,2025-08-31,QLD,55-64
43,2025-07-30,NSW,25-34
44,2025-08-19,VIC,45-54
45,2025-06-15,NSW,18-24
46,2025-08-01,NSW,35-44
47,2025-08-01,VIC,35-44
48,2025-07-17,VIC,35-44
49,2025-08-01,NT,55-64
50,2025-07-21,VIC,55-64
51,2025-09-16,VIC,45-54
52,2025-07-25,VIC,25-34
53,2025-09-24,NSW,55-64
54,2025-08-03,ACT,18-24
55,2025-09-29,QLD,55-64
56,2025-06-03,WA,25-34
57,2025-09-09,NSW,18-24
58,2025-07-21,VIC,35-44
59,2025-06-07,VIC,25-34
60,2025-06-21,WA,25-34
61,2025-08-12,NSW,25-34
62,2025-07-09,NSW,18-24
63,2025-06-18,NT,25-34
64,2025-06-04,VIC,18-24
65,2025-08-28,VIC,25-34
66,2025-07-30,NSW,18-24
67,2025-06-14,ACT,45-54
68,2025-09-22,NSW,25-34
69,2025-09-30,QLD,65+
70,2025-06-09,WA,55-64
71,2025-08-29,NSW,25-34
72,2025-07-23,QLD,45-54
73,2025-06-02,NSW,45-54
74,2025-08-23,NSW,65+
75,2025-08-31,WA,35-44
76,2025-09-19,SA,18-24
77,2025-07-30,QLD,35-44
78,2025-08-10,VIC,35-44
79,2025-07-14,NSW,35-44
80,2025-06-08,NSW,25-34
81,2025-07-17,NSW,55-64
82,2025-07-05,NSW,65+
83,2025-08-17,VIC,25-34
84,2025-08-20,VIC,18-24
85,2025-07-06,VIC,25-34
86,2025-07-20,NSW,45-54
87,2025-09-12,VIC,35-44
88,2025-06-04,WA,35-44
89,2025-06-02,NSW,25-34
90,2025-06-06,TAS,35-44
91,2025-07-24,SA,25-34
92,2025-09-14,NSW,35-44
93,2025-06-04,WA,45-54
94,2025-07-24,VIC,65+
95,2025-09-01,VIC,55-64
96,2025-08-02,VIC,55-64
97,2025-06-18,VIC,25-34
98,2025-08-29,VIC,35-44
99,2025-07-14,VIC,45-54
100,2025-07-04,QLD,55-64
101,2025-08-13,QLD,18-24
102,2025-08-01,VIC,25-34
103,2025-09-08,QLD,18-24
104,2025-06-14,NSW,35-44
105,2025-09-03,NSW,25-34
106,2025-07-18,WA,25-34
107,2025-06-15,NSW,18-24
108,2025-08-11,NSW,25-34
109,2025-08-17,NSW,55-64
110,2025-08-26,NSW,25-34
111,2025-09-29,ACT,45-54
112,2025-08-01,VIC,35-44
113,2025-07-10,TAS,55-64
114,2025-08-24,VIC,18-24
115,2025-08-19,VIC,65+
116,2025-09-17,NSW,35-44
117,2025-08-21,QLD,65+
118,2025-09-19,NSW,55-64
119,2025-07-23,SA,25-34
120,2025-06-24,WA,18-24
121,2025-06-26,NSW,25-34
122,2025-08-28,ACT,35-44
123,2025-07-30,WA,25-34
124,2025-09-17,QLD,25-34
125,2025-07-11,NSW,35-44
126,2025-06-29,VIC,18-24
127,2025-06-15,VIC,18-24
128,2025-07-15,NSW,25-34
129,2025-08-04,NSW,18-24
130,2025-08-28,WA,25-34
131,2025-08-10,NSW,35-44
132,2025-06-09,QLD,25-34
133,2025-08-27,TAS,55-64
134,2025-06-01,SA,35-44
135,2025-09-16,NSW,35-44
136,2025-06-08,SA,25-34
137,2025-08-27,NSW,45-54
138,2025-08-02,NSW,55-64
139,2025-06-11,QLD,55-64
140,2025-09-23,VIC,35-44
141,2025-08-20,VIC,18-24
142,2025-06-08,VIC,25-34
143,2025-07-05,NSW,18-24
144,2025-07-05,NSW,55-64
145,2025-07-03,VIC,35-44
146,2025-06-05,WA,45-54
147,2025-09-14,QLD,25-34
148,2025-09-11,NSW,55-64
149,2025-09-30,VIC,25-34
150,2025-07-11,NSW,18-24
151,2025-06-28,NSW,25-34
152,2025-06-07,WA,35-44
153,2025-08-12,NSW,35-44
154,2025-08-11,NSW,55-64
155,2025-06-12,QLD,18-24
156,2025-07-04,QLD,35-44
157,2025-07-03,QLD,35-44
158,2025-07-18,NSW,25-34
159,2025-09-27,NSW,45-54
160,2025-06-23,NSW,45-54
161,2025-08-01,NSW,45-54
162,2025-08-27,QLD,55-64
163,2025-07-07,SA,45-54
164,2025-09-07,QLD,25-34
165,2025-07-14,WA,45-54
166,2025-09-12,VIC,25-34
167,2025-08-25,QLD,25-34
168,2025-08-30,VIC,18-24
169,2025-07-05,VIC,45-54
170,2025-08-04,VIC,45-54
171,2025-09-07,NSW,25-34
172,2025-09-09,VIC,45-54
173,2025-07-17,ACT,55-64
174,2025-08-17,NSW,18-24
175,2025-06-03,NSW,25-34
176,2025-06-01,VIC,45-54
177,2025-06-05,WA,25-34
178,2025-08-29,VIC,35-44
179,2025-09-27,QLD,18-24
180,2025-06-14,NSW,25-34
181,2025-09-11,QLD,45-54
182,2025-06-27,NSW,45-54
183,2025-06-09,WA,45-54
184,2025-08-18,QLD,55-64
185,2025-06-15,NSW,45-54
186,2025-08-29,NSW,35-44
